Nome da tarefa,Descrição,Status,Prioridade,Resumo,"Responsável "
Contas a Pagar,Histórico de Cancelamento,Em andamento,Baixa,Histórico de cancelamento modulo contas/caixa. - Adicionar Log de Exclusões no Banco. Irá verificar que excluiu e quando. Verificar se conseguem visualizar pela view,Dev
Contas a Pagar,Relatório Fechamento Bancos,Em andamento,Baixa,Filtro da data de Atualização para pegar erros em data de conciliação estranhas resolvido. Adicionar Unidade e histórico lançamento CPR no relatório fechamento data da atualização,Wendlys
Contas a Pagar,Campo de Pix,Em andamento,Baixa,Criar campo para informar número do Pix ( cadastro de pessoas ) - Abertura de sugestão para Desenvolvimento CPJ,Dev
Contas a Pagar,Documento (pasta),Em andamento,Baixa,Criar outro documento (pasta ) para visualizar em tela comprovante no modulo do contas a pagar/receber - Não é possivel criar um campo de doc adicional. Iremos criar um relatório de comprovantes (comprovante filtro diferente)  da tabela GED no módulo CPR que traga o nome de todos os arquivos anexados nos títulos e identificaremos qual título não tem o comprovante vinculado. - Criação de CALC com técnicos,Wendlys
Contas a Pagar,Parcelas com vencimento programado,Em andamento,Baixa,"Gerar as parcelas com  vencimento 15/40/45 dias - Abrir a sugestão, mas a rotina é após realizado o parcelamento, pesquisa da parcelas, edita os vencimentos conforme o período na mão.",Diogo
Contas a Pagar,HISTÓRICO - LANÇAMENTO CC,Em andamento,Média,"Dentro do título no campo Lançamento CC, não está vindo a informação do campo ‘’Histórico’’.",Diogo
Contas a Pagar,Rateio das Filiais,Em andamento,Alta,É possível ratear algumas contas do dre de acordo com particularidade. Falta somente 1 grupo de robôs que atende 3 filiais faltantes - Wendy e Unificação Robos Filial,Diogo
Contas a Receber,Documentos em Lote,Em andamento,Alta,Cris testando - Salva no CPR e salva em lote - Criação de Robô de Importação e Exportação 04 de Documentos CC em Lote para adicionar no portal do cliente - Rb 131 upgrade resolve e robo rodiney resolve,Cristina
Controladoria,Parametrização,Em andamento,Média," DRE (Conciliação Movimento Bancário – Receber
x A Pagar) (Interno c/ Diogo)",Diogo
Contas a Pagar,SPF Cancelada depois de baixada,A fazer,Alta,"Abrir chamado na Preâmbulo explicando a situação, eu abri pelo helpdesk porém não foi efetivo, talvez não soube explicar.",Ródiney
Contas a Pagar,DRE,A fazer,Média,"Devoluções de valores ( evento , pagamento indevido etc) criar conta no dre",Diogo
Controladoria,Avaliação de Alçadas de Aprovação,A fazer,Média,Proteção da Area Financeira - Avaliar possibilidades bloqueio alçada. - Entrega da SPF com alçada. Criação de rotinas de relatórios de alçada e avaliação.,Control
Controladoria,Carregamento Orçamento por BD,A fazer,Alta," Iremos fazer o carregamento do orçamento na base de homologação a partir de outubro, aprimorando os dados e formas de importação para posterior carregamento do orçamento 2025",Control
Contas a Pagar,Data Conciliação,A fazer,Baixa,Data da atualização da conciliação está incorreta no relatório (Relatório Fechamento - Data Atualização) modulo contas/caixa.,Wendlys
Contas a Pagar,Layout CNAB Pagar Sispag Itau para PIX,A fazer,Média,Estudar os layouts passados e tentar adequar o cpj a realizar a emissão do layout pronto. Ver soluções itaú. adicionar Campo Z chave pix,Dev
Contas a Pagar,Diminuição Robos de Rateio,A fazer,Baixa,Hoje temos 3 conjuntos de 3 robos de rateio para atualização. Achar uma forma de otimizar e reduzir os robos das filiais para somente 3 robos,Wendlys
Contas a Receber,Comprovante de Pagamento,A fazer,Média,"Salvar Comprovante de Pagamento de localizador Codigo (194) - Mais uma situação a ser resolvida com imp e exp de docs do CPR e CC - Iremos exportar em lote, dos títulos da 194 do cpr após a anexação do cv pagamento, exportamos todos documentos de um período, colocamos na planilha e carregamos a importação dos docs no CC. Se for possível importar nos títulos 193 também. ",Diogo
Controladoria,Reestruturação do Plano Contas Contábil,A fazer,Baixa,"Carlos e Jorge irão reestruturar, reorganizar e criar novas contas sintéticas para trazer uma classificação padrão do plano do contas DRE",Control
Contas a Receber,Fluxo Financeiro,A fazer,Alta,Verificar possibilidade de melhorar o fluxo do financeiro - Ex.: Mostrar fluxograma Itaú Reembolso - Adequar rotinas do financeiro em fluxos do cpj,Ródiney
Contas a Pagar,Rateio automatico,A fazer,Baixa,lançar conta do dre e o sistema atualizar de acordo com ultima atualização. - abrir como BUG para desenvolvimento CPJ,Dev
Controladoria,Previsibilidade das Entradas x Saidas,A fazer,Média,Conjunto de Relatórios Agendados para Gestores de CPR e Custas/Reembolso,Control
Contas a Pagar,Fluxo de Caixa,A fazer,Alta,Saldo final incorreto o relatório de faturamento,Dev
Controladoria,Planilha Padrão de Importação de Orçamento,A fazer,Média,"Com base na planilha enviada pela Perez, montar uma planilha para importar orçamento, com dre, uni, cc, valor",Diogo
Controladoria,Relatório de Validação de Orçamento,A fazer,Média,"Montagem do Relatório que traga Orçamento da Conta do DRE e o valor Baixado da conta no momento, Previsão/Realização e 100% se possível (calc que faça diferença de uma pela outra 0.100 pra dar %)",Diogo
Controladoria,Validação do BI de Faturamento,A fazer,Alta,Validar BI de Faturamento e Gerar o DRE e Add Orçamento no BI,Control
Controladoria,Redefinir modelo de Plano de Contas,A fazer,Alta,Estruturação do plano de contas e DRE (Interno c/Diogo),Diogo
Controladoria,"Integração Tesouraria Perez x Banco Conta
Corrente",A fazer,Alta,Desenvolvimento (Interno c/ Diogo),Diogo
Controladoria,Parametrização,A fazer,Média,"DRE - Estruturação Plano de Contas  (Interno c/ Diogo) ",Diogo
Contas a Pagar,"Avaliação do Processo e Fluxo de Trabalho
(Contas a Pagar e Contas a Receber)",A fazer,Média,Treinamentos (Diogo) Fluxo SPF,Diogo
Contas a Pagar,Guias Pagas pelos clientes (adiantamento) (Vinculo SPF Externo),A fazer,Baixa,Fluxo do procedimento (Carlos Desenvolvendo Solução SPF),Calos
Contas a Pagar,Integração com a Contabilidade,A fazer,Baixa,Exportação - Planilha Excel - Integração precisa de parametrização - Aguardando DRE,Control
